epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,5394.32,0.81367,0.56629,1.04939,0.94946,0.61336,0.62628,0.51753,0.69276,0.51565,0.93051,0.000280275,0.000280275,0.000280275
67,5465.98,0.71256,0.55238,1.00976,0.94946,0.61336,0.62628,0.51753,0.69276,0.51565,0.93051,0.000266532,0.000266532,0.000266532
68,5538.28,0.72806,0.54641,0.98455,0.94641,0.60817,0.62689,0.51351,0.72936,0.52243,0.94336,0.000253024,0.000253024,0.000253024
69,5615.83,0.7313,0.56424,0.99925,0.94641,0.60817,0.62689,0.51351,0.72936,0.52243,0.94336,0.000239766,0.000239766,0.000239766
70,5690.85,0.77087,0.54813,1.01032,0.94641,0.60817,0.62689,0.51351,0.72936,0.52243,0.94336,0.000226769,0.000226769,0.000226769
71,5769.47,0.82382,0.57426,0.99486,0.94293,0.6124,0.62695,0.50808,0.75267,0.51709,0.95148,0.000214046,0.000214046,0.000214046
72,5846.21,0.73722,0.52913,1.01719,0.94293,0.6124,0.62695,0.50808,0.75267,0.51709,0.95148,0.000201611,0.000201611,0.000201611
73,5931.67,0.84678,0.61916,1.08392,0.94754,0.62271,0.62844,0.51287,0.74663,0.51091,0.95395,0.000189475,0.000189475,0.000189475
74,6004.41,0.72875,0.50515,0.9744,0.94754,0.62271,0.62844,0.51287,0.74663,0.51091,0.95395,0.000177651,0.000177651,0.000177651
75,6085.07,0.78513,0.57785,1.02722,0.94754,0.62271,0.62844,0.51287,0.74663,0.51091,0.95395,0.000166149,0.000166149,0.000166149
76,6163.19,0.69426,0.5238,0.95937,0.94464,0.6272,0.62736,0.51519,0.7316,0.50075,0.94933,0.000154982,0.000154982,0.000154982
